t,OR Category L1,OR Category L2,counts
-2631,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2630,Clients Products and Business Practices,Advisory Activity,1
-2630,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2628,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2623,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2622,Clients Products and Business Practices,Defective Products,1
-2621,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2620,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2617,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2615,Clients Products and Business Practices,Improper Business or Market Practices,1
-2615,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2615,Internal Fraud,Unauthorised Activity,1
-2614,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2614,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2610,Execution Delivery and Process Management,Clients' Accounts Management,1
-2609,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2606,Execution Delivery and Process Management,Contractual Customer Documents,1
-2603,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2599,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2596,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2595,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2593,Execution Delivery and Process Management,Clients' Accounts Management,1
-2592,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2589,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2588,Clients Products and Business Practices,Improper Business or Market Practices,1
-2588,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2587,Execution Delivery and Process Management,Contractual Customer Documents,1
-2587,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2586,Execution Delivery and Process Management,Monitoring and Reporting,1
-2582,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2581,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2580,Business Disruption and System Failures,Systems Failure,1
-2580,Clients Products and Business Practices,Advisory Activity,1
-2580,Clients Products and Business Practices,Improper Business or Market Practices,1
-2579,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2579,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2578,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2575,Execution Delivery and Process Management,Suppliers,1
-2575,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2574,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2572,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2567,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2565,Clients Products and Business Practices,Advisory Activity,1
-2560,External Fraud,Theft and Fraud (External Fraud),1
-2559,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2557,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2557,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2556,Clients Products and Business Practices,Improper Business or Market Practices,1
-2556,Employment Practices and Workplace Safety,Human Resources Management,1
-2556,Execution Delivery and Process Management,Monitoring and Reporting,1
-2556,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2556,External Fraud,Theft and Fraud (External Fraud),1
-2555,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",2
-2555,Execution Delivery and Process Management,Monitoring and Reporting,1
-2545,Execution Delivery and Process Management,Monitoring and Reporting,1
-2544,Business Disruption and System Failures,Systems Failure,1
-2544,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2543,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-2541,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2538,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2537,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2535,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2535,External Fraud,Theft and Fraud (External Fraud),1
-2531,Execution Delivery and Process Management,Clients' Accounts Management,1
-2531,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2528,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2528,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2527,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2525,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2525,External Fraud,Theft and Fraud (External Fraud),1
-2524,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2523,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2522,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2522,External Fraud,Theft and Fraud (External Fraud),1
-2521,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2521,External Fraud,Theft and Fraud (External Fraud),1
-2520,Business Disruption and System Failures,Systems Failure,1
-2517,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2515,External Fraud,Theft and Fraud (External Fraud),1
-2514,Clients Products and Business Practices,Advisory Activity,1
-2514,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2513,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2510,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2509,Clients Products and Business Practices,Advisory Activity,1
-2509,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-2509,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2508,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2506,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2505,External Fraud,Theft and Fraud (External Fraud),1
-2503,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2502,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2501,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2499,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2496,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2495,Clients Products and Business Practices,Advisory Activity,1
-2495,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2495,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2495,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2494,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2493,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2493,External Fraud,Theft and Fraud (External Fraud),1
-2489,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2488,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2487,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2486,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2485,External Fraud,Theft and Fraud (External Fraud),1
-2482,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2482,External Fraud,Theft and Fraud (External Fraud),1
-2473,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2472,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2471,Clients Products and Business Practices,Advisory Activity,1
-2468,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2467,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2467,Execution Delivery and Process Management,Suppliers,1
-2467,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2467,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2466,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2465,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2464,Clients Products and Business Practices,Trade Counterparties,1
-2464,External Fraud,Theft and Fraud (External Fraud),1
-2461,Clients Products and Business Practices,Improper Business or Market Practices,1
-2461,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2460,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2459,Clients Products and Business Practices,Defective Products,1
-2459,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2457,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2454,Clients Products and Business Practices,Defective Products,1
-2454,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2453,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2452,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2450,Internal Fraud,Unauthorised Activity,1
-2446,External Fraud,Theft and Fraud (External Fraud),1
-2443,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2440,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2440,External Fraud,Theft and Fraud (External Fraud),2
-2437,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2436,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2434,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2433,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2432,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2431,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2430,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2429,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2426,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2425,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2424,Execution Delivery and Process Management,Monitoring and Reporting,1
-2422,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2419,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2418,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2417,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2416,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2415,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2412,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2411,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2410,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2409,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2408,Execution Delivery and Process Management,Suppliers,1
-2408,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2405,Execution Delivery and Process Management,Suppliers,1
-2403,Business Disruption and System Failures,Systems Failure,1
-2402,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2398,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2397,Clients Products and Business Practices,Improper Business or Market Practices,1
-2397,Execution Delivery and Process Management,Suppliers,1
-2397,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2396,Business Disruption and System Failures,Systems Failure,1
-2395,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2394,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2391,External Fraud,Theft and Fraud (External Fraud),1
-2389,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2388,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2387,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2383,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2382,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2381,Execution Delivery and Process Management,Suppliers,1
-2381,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2380,Business Disruption and System Failures,Systems Failure,1
-2380,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2378,External Fraud,Theft and Fraud (External Fraud),1
-2377,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2376,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2374,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2373,Clients Products and Business Practices,Advisory Activity,1
-2373,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2372,Clients Products and Business Practices,Improper Business or Market Practices,1
-2372,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2371,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2371,External Fraud,Theft and Fraud (External Fraud),1
-2370,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2368,Clients Products and Business Practices,Improper Business or Market Practices,2
-2368,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2367,Clients Products and Business Practices,Advisory Activity,1
-2367,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2366,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2364,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2363,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2362,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2361,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2359,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2356,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2355,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2353,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2349,Execution Delivery and Process Management,Monitoring and Reporting,1
-2349,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2348,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2347,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2345,Clients Products and Business Practices,Improper Business or Market Practices,1
-2345,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2345,External Fraud,Theft and Fraud (External Fraud),1
-2342,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2342,External Fraud,Theft and Fraud (External Fraud),2
-2342,Internal Fraud,Systems Security (Internal Fraud),1
-2341,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2341,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2339,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2335,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2334,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2332,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2331,External Fraud,Theft and Fraud (External Fraud),1
-2328,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2327,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2326,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2325,Clients Products and Business Practices,Improper Business or Market Practices,1
-2325,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2321,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2319,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2313,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2311,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2310,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2310,External Fraud,Theft and Fraud (External Fraud),1
-2305,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2304,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2300,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2299,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2298,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2297,Execution Delivery and Process Management,Contractual Customer Documents,1
-2296,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2289,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2286,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2285,Clients Products and Business Practices,Advisory Activity,1
-2284,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2283,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2282,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2279,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2278,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2278,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2277,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2275,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2272,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2271,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2271,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2270,Clients Products and Business Practices,Improper Business or Market Practices,1
-2270,Execution Delivery and Process Management,Clients' Accounts Management,1
-2268,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2265,Clients Products and Business Practices,Advisory Activity,1
-2265,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2265,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2264,External Fraud,Theft and Fraud (External Fraud),1
-2262,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2261,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2258,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2257,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2256,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2256,External Fraud,Theft and Fraud (External Fraud),1
-2255,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2251,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2250,Clients Products and Business Practices,Improper Business or Market Practices,1
-2250,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2249,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2248,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2247,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2244,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2242,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2241,Clients Products and Business Practices,Advisory Activity,1
-2241,Execution Delivery and Process Management,Suppliers,1
-2237,Execution Delivery and Process Management,Suppliers,1
-2234,Execution Delivery and Process Management,Monitoring and Reporting,1
-2233,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2229,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2228,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2227,Clients Products and Business Practices,Advisory Activity,1
-2227,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",11
-2226,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2226,External Fraud,Theft and Fraud (External Fraud),1
-2223,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2222,Clients Products and Business Practices,Advisory Activity,1
-2222,Clients Products and Business Practices,Improper Business or Market Practices,1
-2222,Execution Delivery and Process Management,Monitoring and Reporting,1
-2222,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-2221,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2220,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2215,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2214,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2213,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2208,Business Disruption and System Failures,Systems Failure,1
-2207,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2206,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2205,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2202,Execution Delivery and Process Management,Suppliers,1
-2202,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2201,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2200,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2198,Clients Products and Business Practices,Advisory Activity,1
-2194,Execution Delivery and Process Management,Monitoring and Reporting,1
-2194,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2193,Business Disruption and System Failures,Systems Failure,1
-2193,Clients Products and Business Practices,Advisory Activity,1
-2193,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2192,Clients Products and Business Practices,Advisory Activity,2
-2192,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2191,Business Disruption and System Failures,Systems Failure,1
-2191,Clients Products and Business Practices,Advisory Activity,1
-2191,Clients Products and Business Practices,Improper Business or Market Practices,1
-2191,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2191,Clients Products and Business Practices,Trade Counterparties,1
-2191,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-2191,Execution Delivery and Process Management,Clients' Accounts Management,1
-2191,Execution Delivery and Process Management,Monitoring and Reporting,1
-2191,Execution Delivery and Process Management,Suppliers,2
-2191,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",7
-2191,External Fraud,Theft and Fraud (External Fraud),11
-2191,Internal Fraud,Theft and Fraud (Internal Fraud),5
-2190,Clients Products and Business Practices,Trade Counterparties,1
-2189,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2183,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2182,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2182,External Fraud,Theft and Fraud (External Fraud),1
-2182,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2178,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2177,Execution Delivery and Process Management,Suppliers,1
-2176,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2175,Execution Delivery and Process Management,Suppliers,1
-2175,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2175,External Fraud,Theft and Fraud (External Fraud),1
-2172,Execution Delivery and Process Management,Monitoring and Reporting,1
-2171,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2170,Clients Products and Business Practices,Advisory Activity,2
-2169,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-2169,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2168,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2166,Internal Fraud,Theft and Fraud (Internal Fraud),2
-2165,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2163,Clients Products and Business Practices,Advisory Activity,1
-2163,External Fraud,Theft and Fraud (External Fraud),1
-2162,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2161,Business Disruption and System Failures,Systems Failure,1
-2161,Employment Practices and Workplace Safety,Human Resources Management,1
-2161,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2161,External Fraud,Theft and Fraud (External Fraud),4
-2161,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2160,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2160,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2160,External Fraud,Theft and Fraud (External Fraud),1
-2158,Clients Products and Business Practices,Advisory Activity,2
-2158,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2158,External Fraud,Theft and Fraud (External Fraud),1
-2157,Clients Products and Business Practices,Advisory Activity,2
-2157,Execution Delivery and Process Management,Clients' Accounts Management,1
-2157,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2156,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2156,Execution Delivery and Process Management,Contractual Customer Documents,1
-2155,Clients Products and Business Practices,Improper Business or Market Practices,1
-2155,Employment Practices and Workplace Safety,"Employee Relations, Equality and Discrimination",1
-2152,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2152,External Fraud,Theft and Fraud (External Fraud),1
-2150,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2148,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2147,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2145,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2144,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2143,External Fraud,Theft and Fraud (External Fraud),1
-2143,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2142,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2141,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-2140,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2140,External Fraud,Theft and Fraud (External Fraud),1
-2139,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2136,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2136,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2135,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2134,Execution Delivery and Process Management,Monitoring and Reporting,1
-2134,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2131,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2131,External Fraud,Theft and Fraud (External Fraud),1
-2131,Internal Fraud,Theft and Fraud (Internal Fraud),3
-2130,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",7
-2129,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2128,Clients Products and Business Practices,Improper Business or Market Practices,1
-2128,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2127,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2126,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2123,Clients Products and Business Practices,Advisory Activity,1
-2123,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2122,Clients Products and Business Practices,Advisory Activity,3
-2121,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2121,Execution Delivery and Process Management,Suppliers,1
-2121,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2120,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2119,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-2116,Clients Products and Business Practices,Advisory Activity,1
-2116,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2114,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-2113,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-2113,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",6
-2112,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-2112,Internal Fraud,Theft and Fraud (Internal Fraud),1
-2109,Clients Products and Business Practices,Advisory Activity,1
